airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,ACC,FFF,MUX,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,DMM,CONFIRMED,XX
XX,06.07.2019,OPO,FFF,EBB,CONFIRMED,XX
XX,06.07.2019,CDG,FFF,DMM,CONFIRMED,XX
XX,06.07.2019,HKG,FFF,MLE,CONFIRMED,XX
XX,06.07.2019,EBB,FFF,IKA,CONFIRMED,XX
XX,06.07.2019,LIS,FFF,DUR,CONFIRMED,XX
XX,06.07.2019,ATH,FFF,IAH,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,MEL,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,MAN,CONFIRMED,XX
XX,06.07.2019,SFO,FFF,AGT,CONFIRMED,XX
XX,06.07.2019,BKK,FFF,VIE,CONFIRMED,XX
XX,23.01.2020,DME,FFF,HYD,CONFIRMED,XX
XX,06.07.2019,BNE,FFF,BLL,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,PNH,CONFIRMED,XX
XX,29.07.2019,VCP,FFF,MEL,CONFIRMED,XX
XX,25.10.2019,YYZ,FFF,MED,CONFIRMED,XX
XX,06.07.2019,MMX,FFF,BEY,CONFIRMED,XX
XX,06.07.2019,MCO,FFF,KBP,CONFIRMED,XX
XX,06.07.2019,DUR,FFF,HAM,CONFIRMED,XX
XX,06.07.2019,MAA,FFF,DXB,CONFIRMED,XX
XX,06.07.2019,ZAG,FFF,MED,CONFIRMED,XX
XX,06.07.2019,WAW,FFF,IKA,CONFIRMED,XX
XX,25.10.2019,JFK,FFF,KBP,CONFIRMED,XX
XX,06.07.2019,MLA,FFF,DOH,CONFIRMED,XX
XX,06.07.2019,HAN,FFF,AKL,CONFIRMED,XX
XX,06.07.2019,LCA,FFF,BUD,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,NGO,CONFIRMED,XX
XX,06.07.2019,SGN,FFF,TPE,CONFIRMED,XX
XX,06.07.2019,JNB,FFF,IST,CONFIRMED,XX
XX,25.02.2020,SZG,FFF,DUB,CONFIRMED,XX
XX,06.07.2019,DAR,FFF,DUS,CONFIRMED,XX
XX,14.11.2019,CPH,FFF,INC,CONFIRMED,XX
XX,22.07.2019,MRU,FFF,CMN,CONFIRMED,XX
XX,06.07.2019,LHE,FFF,LGW,CONFIRMED,XX
XX,25.10.2019,YYZ,FFF,MNL,CONFIRMED,XX
XX,06.07.2019,VIE,FFF,MST,CONFIRMED,XX
XX,25.02.2020,SZG,FFF,CRK,CONFIRMED,XX
XX,06.07.2019,SFO,FFF,KUL,CONFIRMED,XX
XX,06.07.2019,KBP,FFF,FLL,CONFIRMED,XX
XX,14.02.2020,PNH,FFF,OSL,CONFIRMED,XX
XX,06.07.2019,ZAG,FFF,ARN,CONFIRMED,XX
XX,06.07.2019,SGN,FFF,MCO,CONFIRMED,XX
XX,23.01.2020,DME,FFF,PRG,CONFIRMED,XX
XX,06.07.2019,BCN,FFF,DOH,CONFIRMED,XX
XX,14.11.2019,KRT,FFF,OUA,CONFIRMED,XX
XX,06.07.2019,BSL,FFF,EDI,CONFIRMED,XX
XX,06.07.2019,ICN,FFF,KHI,CONFIRMED,XX
XX,06.07.2019,SKT,FFF,HKG,CONFIRMED,XX
XX,14.11.2019,BUD,FFF,CPH,CONFIRMED,XX
XX,06.07.2019,BHX,FFF,SFO,CONFIRMED,XX
XX,06.07.2019,CPT,FFF,ZAZ,CONFIRMED,XX
XX,06.07.2019,KWI,FFF,CAN,CONFIRMED,XX
XX,06.07.2019,EDI,FFF,GIG,CONFIRMED,XX
XX,06.07.2019,DUR,FFF,ZAG,CONFIRMED,XX
XX,06.07.2019,BLL,FFF,OPO,CONFIRMED,XX
XX,06.07.2019,EBL,FFF,SKT,CONFIRMED,XX
XX,06.03.2020,LCK,FFF,BAH,CONFIRMED,XX
XX,06.07.2019,MHD,FFF,HAM,CONFIRMED,XX
XX,06.07.2019,PRG,FFF,HAN,CONFIRMED,XX
XX,06.07.2019,CAN,FFF,BEY,CONFIRMED,XX
XX,22.07.2019,CCJ,FFF,CMN,CONFIRMED,XX
XX,06.07.2019,MNL,FFF,MED,CONFIRMED,XX
XX,16.01.2020,ZRH,FFF,CAI,CONFIRMED,XX
XX,06.07.2019,KIX,FFF,BOM,CONFIRMED,XX
XX,14.11.2019,BHX,FFF,CGP,CONFIRMED,XX
XX,06.07.2019,ATH,FFF,EWR,CONFIRMED,XX
XX,06.07.2019,SAW,FFF,ADL,CONFIRMED,XX
XX,06.07.2019,ICN,FFF,DAR,CONFIRMED,XX
XX,06.07.2019,KHI,FFF,PRG,CONFIRMED,XX
XX,30.10.2019,BLL,FFF,ORD,CONFIRMED,XX
XX,06.07.2019,MED,FFF,PEW,CONFIRMED,XX
XX,10.01.2020,BCN,FFF,LNZ,CONFIRMED,XX
XX,28.07.2019,FRA,FFF,VCP,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,TUN,CONFIRMED,XX
XX,06.07.2019,CCU,FFF,ADD,CONFIRMED,XX
XX,25.10.2019,SIN,FFF,DUB,CONFIRMED,XX
XX,06.07.2019,DEL,FFF,BHX,CONFIRMED,XX
